Date,Open,High,Low,Close,ST_value,ST_trend
2022-01-03,17387.15,17646.65,17383.3,17625.7,0.0,1
2022-01-04,17681.4,17827.6,17593.55,17805.25,,1
2022-01-05,17820.1,17944.7,17748.85,17925.25,,1
2022-01-06,17768.5,17797.95,17655.55,17745.9,,1
2022-01-07,17797.6,17905.0,17704.55,17812.7,,1
2022-01-10,17913.3,18017.45,17879.15,18003.3,,1
2022-01-11,17997.75,18081.25,17964.4,18055.75,,1
2022-01-12,18170.4,18227.95,18128.8,18212.35,,1
2022-01-13,18257.0,18272.25,18163.8,18257.8,,1
2022-01-14,18185.0,18286.95,18119.65,18255.75,,1
2022-01-17,18235.65,18321.55,18228.75,18308.1,17784.69032433422,1
2022-01-18,18337.2,18350.95,18085.9,18113.05,17784.69032433422,1
2022-01-19,18129.2,18129.2,17884.9,17938.4,17784.69032433422,1
2022-01-20,17921.0,17943.7,17648.45,17757.0,18401.883335148665,-1
2022-01-21,17613.7,17707.6,17485.85,17617.15,18229.45670509928,-1
2022-01-24,17575.15,17599.4,16997.85,17149.1,18085.63886267453,-1
2022-01-25,17001.55,17309.15,16836.8,17277.95,17937.322568161722,-1
2022-01-27,17062.0,17182.5,16866.75,17110.15,17933.288451778062,-1
2022-01-28,17208.3,17373.5,17077.1,17101.95,17933.288451778062,-1
2022-01-31,17301.05,17410.0,17264.15,17339.85,17933.288451778062,-1
2022-02-01,17529.45,17622.4,17244.55,17576.85,17933.288451778062,-1
2022-02-02,17706.2,17794.6,17674.8,17780.0,17933.288451778062,-1
2022-02-03,17767.75,17781.15,17511.15,17560.2,17933.288451778062,-1
2022-02-04,17590.2,17617.8,17462.55,17516.3,17933.288451778062,-1
2022-02-07,17456.3,17536.75,17119.4,17213.6,17933.288451778062,-1
2022-02-08,17279.85,17306.45,17043.65,17266.75,17933.288451778062,-1
2022-02-09,17370.1,17477.15,17339.0,17463.8,17933.288451778062,-1
2022-02-10,17554.1,17639.45,17427.15,17605.85,17933.288451778062,-1
2022-02-11,17451.0,17454.75,17303.0,17374.75,17933.288451778062,-1
2022-02-14,17076.15,17099.5,16809.65,16842.8,17882.326986237364,-1
2022-02-15,16933.25,17375.0,16839.25,17352.45,17882.326986237364,-1
2022-02-16,17408.45,17490.6,17257.7,17322.2,17882.326986237364,-1
2022-02-17,17396.55,17442.9,17235.85,17304.6,17882.326986237364,-1
2022-02-18,17236.05,17380.8,17219.2,17276.3,17882.326986237364,-1
2022-02-21,17192.25,17351.05,17070.7,17206.65,17882.326986237364,-1
2022-02-22,16847.95,17148.55,16843.8,17092.2,17882.326986237364,-1
2022-02-23,17194.5,17220.7,17027.85,17063.25,17882.326986237364,-1
2022-02-24,16548.9,16705.25,16203.25,16247.95,17498.01571360256,-1
2022-02-25,16515.65,16748.8,16478.3,16658.4,17498.01571360256,-1
2022-02-28,16481.6,16815.9,16356.3,16793.9,17498.01571360256,-1
2022-03-02,16593.1,16678.5,16478.65,16605.95,17498.01571360256,-1
2022-03-03,16723.2,16768.95,16442.95,16498.05,17498.01571360256,-1
2022-03-04,16339.45,16456.0,16133.8,16245.35,17384.78293080835,-1
2022-03-07,15867.95,15944.6,15711.45,15863.15,16969.647141363024,-1
2022-03-08,15747.75,16028.75,15671.45,16013.45,16969.647141363024,-1
2022-03-09,16078.0,16418.05,15990.0,16345.35,16969.647141363024,-1
2022-03-10,16757.1,16757.3,16447.9,16594.9,16969.647141363024,-1
2022-03-11,16528.8,16694.4,16470.9,16630.45,16969.647141363024,-1
2022-03-14,16633.7,16887.95,16606.5,16871.3,16969.647141363024,-1
2022-03-15,16900.65,16927.75,16555.0,16663.0,16969.647141363024,-1
2022-03-16,16876.65,16987.9,16837.85,16975.35,15837.92291867721,1
2022-03-17,17202.9,17344.6,17175.75,17287.05,16181.927842937801,1
2022-03-21,17329.5,17353.35,17096.4,17117.6,16181.927842937801,1
2022-03-22,17120.4,17334.4,17006.3,17315.5,16181.927842937801,1
2022-03-23,17405.05,17442.4,17199.6,17245.65,16311.323837909556,1
2022-03-24,17094.95,17291.75,17091.15,17222.75,16311.323837909556,1
2022-03-25,17289.0,17294.9,17076.55,17153.0,16311.323837909556,1
2022-03-28,17181.85,17235.1,17003.9,17222.0,16311.323837909556,1
2022-03-29,17297.2,17343.65,17235.7,17325.3,16431.713784399988,1
2022-03-30,17468.15,17522.5,17387.2,17498.25,16623.57819612417,1
2022-03-31,17519.2,17559.8,17435.2,17464.75,16712.05773266095,1
2022-04-01,17436.9,17703.7,17422.7,17670.45,16771.992635449693,1
2022-04-04,17809.1,18114.65,17791.4,18053.4,17107.599453092695,1
2022-04-05,18080.6,18095.45,17921.55,17957.4,17195.48947212314,1
2022-04-06,17842.75,17901.0,17779.85,17807.65,17195.48947212314,1
2022-04-07,17723.3,17787.5,17623.7,17639.55,17195.48947212314,1
2022-04-08,17698.15,17842.75,17600.55,17784.35,17195.48947212314,1
2022-04-11,17740.9,17779.05,17650.95,17674.95,17195.48947212314,1
2022-04-12,17584.85,17595.3,17442.35,17530.3,17195.48947212314,1
2022-04-13,17599.9,17663.65,17457.4,17475.65,17195.48947212314,1
2022-04-18,17183.45,17237.75,17067.85,17173.65,17913.917401535724,-1
2022-04-19,17258.95,17275.65,16824.7,16958.65,17870.499049246642,-1
2022-04-20,17045.25,17186.9,16978.95,17136.55,17870.499049246642,-1
2022-04-21,17234.6,17414.7,17215.5,17392.6,17870.499049246642,-1
2022-04-22,17242.75,17315.3,17149.2,17171.95,17870.499049246642,-1
2022-04-25,17009.05,17054.3,16888.7,16953.95,17777.911186111567,-1
2022-04-26,17121.3,17223.85,17064.45,17200.8,17777.911186111567,-1
2022-04-27,17073.35,17110.7,16958.45,17038.4,17777.911186111567,-1
2022-04-28,17189.5,17322.5,17071.05,17245.05,17777.911186111567,-1
2022-04-29,17329.25,17377.65,17053.25,17102.55,17777.911186111567,-1
2022-05-02,16924.45,17092.25,16917.25,17069.1,17777.911186111567,-1
2022-05-04,17096.6,17132.85,16623.95,16677.6,17746.148623557725,-1
2022-05-05,16854.75,16945.7,16651.85,16682.65,17667.904005480337,-1
2022-05-06,16415.55,16484.2,16340.9,16411.25,17297.29359183485,-1
2022-05-09,16227.7,16403.7,16142.1,16301.85,17149.91312455753,-1
2022-05-10,16248.9,16404.55,16197.3,16240.05,17149.91312455753,-1
2022-05-11,16270.05,16318.75,15992.6,16167.1,17019.856641075436,-1
2022-05-12,16021.1,16041.95,15735.75,15808.0,16796.022969375823,-1
